STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2013Q2,All nationalities,In labour force,2253.7
Persons aged 15 years and over,2013Q2,All nationalities,In employment,1924.2
Persons aged 15 years and over,2013Q2,All nationalities,Unemployed,329.5
Persons aged 15 years and over,2013Q2,All nationalities,Not in labour force,1367.1
Persons aged 15 years and over,2013Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,48.4
Persons aged 15 years and over,2013Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.2
Persons aged 15 years and over,2013Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,35.7
Persons aged 15 years and over,2013Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2013Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.2
Persons aged 15 years and over,2013Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,197.1
Persons aged 15 years and over,2013Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,162.5
Persons aged 15 years and over,2013Q2,EU15 to EU27 (accession countries joined post 2004),In employment,132.6
Persons aged 15 years and over,2013Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,29.9
Persons aged 15 years and over,2013Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,34.5
Persons aged 15 years and over,2013Q2,UK,All ILO economic status,100.4
Persons aged 15 years and over,2013Q2,UK,In labour force,60.0
Persons aged 15 years and over,2013Q2,UK,In employment,49.1
Persons aged 15 years and over,2013Q2,UK,Unemployed,11.0
Persons aged 15 years and over,2013Q2,UK,Not in labour force,40.4
Persons aged 15 years and over,2013Q2,Irish,All ILO economic status,3159.0
Persons aged 15 years and over,2013Q2,Irish,In labour force,1918.1
Persons aged 15 years and over,2013Q2,Irish,In employment,1646.4
Persons aged 15 years and over,2013Q2,Irish,Unemployed,271.8
Persons aged 15 years and over,2013Q2,Irish,Not in labour force,1240.8
Persons aged 15 years and over,2013Q2,Non-Irish,All ILO economic status,461.8
Persons aged 15 years and over,2013Q2,Non-Irish,In labour force,335.5
Persons aged 15 years and over,2013Q2,Non-Irish,In employment,277.8
Persons aged 15 years and over,2013Q2,Non-Irish,Unemployed,57.7
Persons aged 15 years and over,2013Q2,Non-Irish,Not in labour force,126.3
Persons aged 15 years and over,2013Q2,Other nationalities (7),All ILO economic status,115.9
Persons aged 15 years and over,2013Q2,Other nationalities (7),In labour force,73.7
Persons aged 15 years and over,2013Q2,Other nationalities (7),In employment,60.4
Persons aged 15 years and over,2013Q2,Other nationalities (7),Unemployed,13.3
Persons aged 15 years and over,2013Q2,Other nationalities (7),Not in labour force,42.2
Persons aged 15 years and over,2013Q3,All nationalities,All ILO economic status,3628.1
Persons aged 15 years and over,2013Q3,All nationalities,In labour force,2271.8
Persons aged 15 years and over,2013Q3,All nationalities,In employment,1962.0
Persons aged 15 years and over,2013Q3,All nationalities,Unemployed,309.8
Persons aged 15 years and over,2013Q3,All nationalities,Not in labour force,1356.3
Persons aged 15 years and over,2013Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,49.2
Persons aged 15 years and over,2013Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,40.0
Persons aged 15 years and over,2013Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,36.1
Persons aged 15 years and over,2013Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2013Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.2
Persons aged 15 years and over,2013Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,200.7
Persons aged 15 years and over,2013Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,165.6
Persons aged 15 years and over,2013Q3,EU15 to EU27 (accession countries joined post 2004),In employment,139.5
Persons aged 15 years and over,2013Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,26.1
Persons aged 15 years and over,2013Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,35.0
Persons aged 15 years and over,2013Q3,UK,All ILO economic status,100.1
Persons aged 15 years and over,2013Q3,UK,In labour force,61.0
Persons aged 15 years and over,2013Q3,UK,In employment,50.4
Persons aged 15 years and over,2013Q3,UK,Unemployed,10.6
Persons aged 15 years and over,2013Q3,UK,Not in labour force,39.1
Persons aged 15 years and over,2013Q3,Irish,All ILO economic status,3166.7
Persons aged 15 years and over,2013Q3,Irish,In labour force,1932.4
Persons aged 15 years and over,2013Q3,Irish,In employment,1676.8
Persons aged 15 years and over,2013Q3,Irish,Unemployed,255.6
Persons aged 15 years and over,2013Q3,Irish,Not in labour force,1234.3
Persons aged 15 years and over,2013Q3,Non-Irish,All ILO economic status,461.4
Persons aged 15 years and over,2013Q3,Non-Irish,In labour force,339.4
Persons aged 15 years and over,2013Q3,Non-Irish,In employment,285.2
Persons aged 15 years and over,2013Q3,Non-Irish,Unemployed,54.2
Persons aged 15 years and over,2013Q3,Non-Irish,Not in labour force,121.9
Persons aged 15 years and over,2013Q3,Other nationalities (7),All ILO economic status,111.4
Persons aged 15 years and over,2013Q3,Other nationalities (7),In labour force,72.8
Persons aged 15 years and over,2013Q3,Other nationalities (7),In employment,59.2
Persons aged 15 years and over,2013Q3,Other nationalities (7),Unemployed,13.6
Persons aged 15 years and over,2013Q3,Other nationalities (7),Not in labour force,38.6
Persons aged 15 years and over,2013Q4,All nationalities,All ILO economic status,3635.1
Persons aged 15 years and over,2013Q4,All nationalities,In labour force,2245.8
Persons aged 15 years and over,2013Q4,All nationalities,In employment,1969.6
Persons aged 15 years and over,2013Q4,All nationalities,Unemployed,276.3
Persons aged 15 years and over,2013Q4,All nationalities,Not in labour force,1389.3
Persons aged 15 years and over,2013Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,50.2
Persons aged 15 years and over,2013Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.5
Persons aged 15 years and over,2013Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,35.6
Persons aged 15 years and over,2013Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,3.9
Persons aged 15 years and over,2013Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,10.7
Persons aged 15 years and over,2013Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,203.7
Persons aged 15 years and over,2013Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,167.1
Persons aged 15 years and over,2013Q4,EU15 to EU27 (accession countries joined post 2004),In employment,141.8
Persons aged 15 years and over,2013Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,25.3
Persons aged 15 years and over,2013Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,36.6
Persons aged 15 years and over,2013Q4,UK,All ILO economic status,99.8
Persons aged 15 years and over,2013Q4,UK,In labour force,59.8
Persons aged 15 years and over,2013Q4,UK,In employment,48.4
Persons aged 15 years and over,2013Q4,UK,Unemployed,11.4
Persons aged 15 years and over,2013Q4,UK,Not in labour force,40.0
Persons aged 15 years and over,2013Q4,Irish,All ILO economic status,3174.5
Persons aged 15 years and over,2013Q4,Irish,In labour force,1914.0
Persons aged 15 years and over,2013Q4,Irish,In employment,1687.5
Persons aged 15 years and over,2013Q4,Irish,Unemployed,226.5
Persons aged 15 years and over,2013Q4,Irish,Not in labour force,1260.6
Persons aged 15 years and over,2013Q4,Non-Irish,All ILO economic status,460.6
Persons aged 15 years and over,2013Q4,Non-Irish,In labour force,331.8
Persons aged 15 years and over,2013Q4,Non-Irish,In employment,282.1
Persons aged 15 years and over,2013Q4,Non-Irish,Unemployed,49.7
Persons aged 15 years and over,2013Q4,Non-Irish,Not in labour force,128.8
Persons aged 15 years and over,2013Q4,Other nationalities (7),All ILO economic status,106.9
Persons aged 15 years and over,2013Q4,Other nationalities (7),In labour force,65.5
Persons aged 15 years and over,2013Q4,Other nationalities (7),In employment,56.2
Persons aged 15 years and over,2013Q4,Other nationalities (7),Unemployed,9.3
Persons aged 15 years and over,2013Q4,Other nationalities (7),Not in labour force,41.4
Persons aged 15 years and over,2014Q1,All nationalities,All ILO economic status,3640.8
Persons aged 15 years and over,2014Q1,All nationalities,In labour force,2232.8
Persons aged 15 years and over,2014Q1,All nationalities,In employment,1950.8
Persons aged 15 years and over,2014Q1,All nationalities,Unemployed,282.0
Persons aged 15 years and over,2014Q1,All nationalities,Not in labour force,1408.0
Persons aged 15 years and over,2014Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,50.9
Persons aged 15 years and over,2014Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.3
Persons aged 15 years and over,2014Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,35.6
Persons aged 15 years and over,2014Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,3.7
Persons aged 15 years and over,2014Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.6
Persons aged 15 years and over,2014Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,204.7
Persons aged 15 years and over,2014Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,167.7
Persons aged 15 years and over,2014Q1,EU15 to EU27 (accession countries joined post 2004),In employment,140.2
Persons aged 15 years and over,2014Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,27.4
Persons aged 15 years and over,2014Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,37.0
Persons aged 15 years and over,2014Q1,UK,All ILO economic status,99.6
Persons aged 15 years and over,2014Q1,UK,In labour force,57.5
Persons aged 15 years and over,2014Q1,UK,In employment,46.6
Persons aged 15 years and over,2014Q1,UK,Unemployed,10.9
Persons aged 15 years and over,2014Q1,UK,Not in labour force,42.1
Persons aged 15 years and over,2014Q1,Irish,All ILO economic status,3180.8
Persons aged 15 years and over,2014Q1,Irish,In labour force,1904.7
Persons aged 15 years and over,2014Q1,Irish,In employment,1674.8
Persons aged 15 years and over,2014Q1,Irish,Unemployed,229.9
Persons aged 15 years and over,2014Q1,Irish,Not in labour force,1276.0
Persons aged 15 years and over,2014Q1,Non-Irish,All ILO economic status,460.1
Persons aged 15 years and over,2014Q1,Non-Irish,In labour force,328.1
Persons aged 15 years and over,2014Q1,Non-Irish,In employment,276.0
Persons aged 15 years and over,2014Q1,Non-Irish,Unemployed,52.1
Persons aged 15 years and over,2014Q1,Non-Irish,Not in labour force,132.0
Persons aged 15 years and over,2014Q1,Other nationalities (7),All ILO economic status,104.9
Persons aged 15 years and over,2014Q1,Other nationalities (7),In labour force,63.6
Persons aged 15 years and over,2014Q1,Other nationalities (7),In employment,53.6
Persons aged 15 years and over,2014Q1,Other nationalities (7),Unemployed,10.1
Persons aged 15 years and over,2014Q1,Other nationalities (7),Not in labour force,41.3
Persons aged 15 years and over,2014Q2,All nationalities,All ILO economic status,3647.9
Persons aged 15 years and over,2014Q2,All nationalities,In labour force,2248.3
Persons aged 15 years and over,2014Q2,All nationalities,In employment,1968.9
Persons aged 15 years and over,2014Q2,All nationalities,Unemployed,279.4
Persons aged 15 years and over,2014Q2,All nationalities,Not in labour force,1399.6
Persons aged 15 years and over,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,51.7
Persons aged 15 years and over,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,39.3
Persons aged 15 years and over,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,35.8
Persons aged 15 years and over,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,3.5
Persons aged 15 years and over,2014Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,12.5
Persons aged 15 years and over,2014Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,205.3
Persons aged 15 years and over,2014Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,166.7
Persons aged 15 years and over,2014Q2,EU15 to EU27 (accession countries joined post 2004),In employment,142.8
Persons aged 15 years and over,2014Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,23.9
Persons aged 15 years and over,2014Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,38.6
Persons aged 15 years and over,2014Q2,UK,All ILO economic status,99.3
Persons aged 15 years and over,2014Q2,UK,In labour force,56.4
Persons aged 15 years and over,2014Q2,UK,In employment,46.3
Persons aged 15 years and over,2014Q2,UK,Unemployed,10.1
Persons aged 15 years and over,2014Q2,UK,Not in labour force,42.9
Persons aged 15 years and over,2014Q2,Irish,All ILO economic status,3188.2
Persons aged 15 years and over,2014Q2,Irish,In labour force,1920.4
Persons aged 15 years and over,2014Q2,Irish,In employment,1689.6
Persons aged 15 years and over,2014Q2,Irish,Unemployed,230.8
Persons aged 15 years and over,2014Q2,Irish,Not in labour force,1267.8
Persons aged 15 years and over,2014Q2,Non-Irish,All ILO economic status,459.8
Persons aged 15 years and over,2014Q2,Non-Irish,In labour force,327.9
Persons aged 15 years and over,2014Q2,Non-Irish,In employment,279.3
Persons aged 15 years and over,2014Q2,Non-Irish,Unemployed,48.6
Persons aged 15 years and over,2014Q2,Non-Irish,Not in labour force,131.8
Persons aged 15 years and over,2014Q2,Other nationalities (7),All ILO economic status,103.4
Persons aged 15 years and over,2014Q2,Other nationalities (7),In labour force,65.6
