Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Administrative and support service activities (N),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Public administration and defence; compulsory social security (O),37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Education (P),29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Human health and social work activities (Q),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,"Financial, insurance and real estate activities (K, L)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Other NACE activities (R to U),31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Industry and Construction (B to F),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q1,Not stated,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"Agriculture, forestry and fishing (A)",49.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Construction (F),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Transportation and storage (H),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Accommodation and food service activities (I),31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Information and communication (J),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"Professional, scientific and technical activities (M)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Administrative and support service activities (N),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Public administration and defence; compulsory social security (O),37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Human health and social work activities (Q),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,"Financial, insurance and real estate activities (K, L)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Other NACE activities (R to U),31.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Industry and Construction (B to F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q2,Not stated,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,All NACE economic sectors,35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"Agriculture, forestry and fishing (A)",48.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Construction (F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Transportation and storage (H),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Accommodation and food service activities (I),31.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Information and communication (J),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"Professional, scientific and technical activities (M)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Administrative and support service activities (N),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Public administration and defence; compulsory social security (O),37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Education (P),30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Human health and social work activities (Q),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Industry (B to E),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,"Financial, insurance and real estate activities (K, L)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Other NACE activities (R to U),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Industry and Construction (B to F),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q3,Not stated,38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"Agriculture, forestry and fishing (A)",49.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Construction (F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Transportation and storage (H),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Accommodation and food service activities (I),31.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Information and communication (J),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"Professional, scientific and technical activities (M)",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Administrative and support service activities (N),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Public administration and defence; compulsory social security (O),37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,"Financial, insurance and real estate activities (K, L)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Other NACE activities (R to U),31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Industry and Construction (B to F),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2016Q4,Not stated,34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,All NACE economic sectors,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"Agriculture, forestry and fishing (A)",47.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Construction (F),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Transportation and storage (H),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Accommodation and food service activities (I),30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Administrative and support service activities (N),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Public administration and defence; compulsory social security (O),37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Education (P),29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,"Financial, insurance and real estate activities (K, L)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Other NACE activities (R to U),32.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2017Q1,Industry and Construction (B to F),39.1
