Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,2 Professional,341.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,3 Associate professional and technical,197.5
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,4 Administrative and secreterial,141.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,5 Skilled trades,219.5
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,"6 Caring, leisure and other services",76.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,7 Sales and customer service,74.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,"8 Process, plant and machine operatives",122.5
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,9 Elementary,128.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Full-time,X1 Other/Not stated,3.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,All occupational groups,468.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"1 Managers, directors and senior officials",14.0
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,2 Professional,56.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,3 Associate professional and technical,34.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,4 Administrative and secreterial,55.3
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,5 Skilled trades,40.2
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"6 Caring, leisure and other services",65.4
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,7 Sales and customer service,84.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,"8 Process, plant and machine operatives",22.9
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,9 Elementary,94.8
Persons aged 15 years and over in Employment (ILO),2013Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,All occupational groups,1962.0
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"1 Managers, directors and senior officials",160.9
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,2 Professional,399.5
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,3 Associate professional and technical,232.0
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,4 Administrative and secreterial,201.1
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,5 Skilled trades,269.9
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"6 Caring, leisure and other services",142.2
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,7 Sales and customer service,159.2
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,"8 Process, plant and machine operatives",154.0
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,9 Elementary,236.4
Persons aged 15 years and over in Employment (ILO),2013Q3,All employment status,X1 Other/Not stated,6.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,All occupational groups,1492.2
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"1 Managers, directors and senior officials",145.7
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,2 Professional,348.7
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,3 Associate professional and technical,197.6
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,4 Administrative and secreterial,145.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,5 Skilled trades,228.1
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"6 Caring, leisure and other services",78.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,7 Sales and customer service,77.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,"8 Process, plant and machine operatives",129.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,9 Elementary,135.1
Persons aged 15 years and over in Employment (ILO),2013Q3,Full-time,X1 Other/Not stated,6.0
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,All occupational groups,469.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"1 Managers, directors and senior officials",15.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,2 Professional,50.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,3 Associate professional and technical,34.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,4 Administrative and secreterial,55.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,5 Skilled trades,41.8
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"6 Caring, leisure and other services",63.4
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,7 Sales and customer service,81.9
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,"8 Process, plant and machine operatives",24.5
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,9 Elementary,101.3
Persons aged 15 years and over in Employment (ILO),2013Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,All occupational groups,1969.6
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"1 Managers, directors and senior officials",164.7
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,2 Professional,398.3
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,3 Associate professional and technical,238.2
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,4 Administrative and secreterial,200.4
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,5 Skilled trades,278.3
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"6 Caring, leisure and other services",145.8
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,7 Sales and customer service,160.5
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,"8 Process, plant and machine operatives",148.8
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,9 Elementary,228.6
Persons aged 15 years and over in Employment (ILO),2013Q4,All employment status,X1 Other/Not stated,5.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,All occupational groups,1496.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"1 Managers, directors and senior officials",151.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,2 Professional,346.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,3 Associate professional and technical,203.2
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,4 Administrative and secreterial,140.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,5 Skilled trades,235.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"6 Caring, leisure and other services",77.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,7 Sales and customer service,78.6
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,"8 Process, plant and machine operatives",126.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,9 Elementary,132.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Full-time,X1 Other/Not stated,4.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,All occupational groups,472.8
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"1 Managers, directors and senior officials",13.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,2 Professional,51.7
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,3 Associate professional and technical,35.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,4 Administrative and secreterial,60.4
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,5 Skilled trades,43.3
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"6 Caring, leisure and other services",68.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,7 Sales and customer service,82.0
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,"8 Process, plant and machine operatives",21.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,9 Elementary,95.9
Persons aged 15 years and over in Employment (ILO),2013Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,All occupational groups,1950.8
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"1 Managers, directors and senior officials",168.7
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,2 Professional,395.3
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,3 Associate professional and technical,239.5
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,4 Administrative and secreterial,198.1
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,5 Skilled trades,270.8
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"6 Caring, leisure and other services",141.7
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,7 Sales and customer service,155.9
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,"8 Process, plant and machine operatives",146.2
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,9 Elementary,227.6
Persons aged 15 years and over in Employment (ILO),2014Q1,All employment status,X1 Other/Not stated,7.0
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,All occupational groups,1487.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"1 Managers, directors and senior officials",155.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,2 Professional,341.4
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,3 Associate professional and technical,204.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,4 Administrative and secreterial,141.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,5 Skilled trades,230.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"6 Caring, leisure and other services",76.2
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,7 Sales and customer service,79.1
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,"8 Process, plant and machine operatives",123.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,9 Elementary,128.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Full-time,X1 Other/Not stated,6.3
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,All occupational groups,463.0
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"1 Managers, directors and senior officials",13.4
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,2 Professional,53.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,3 Associate professional and technical,34.7
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,4 Administrative and secreterial,56.5
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,5 Skilled trades,40.1
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"6 Caring, leisure and other services",65.5
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,7 Sales and customer service,76.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,"8 Process, plant and machine operatives",22.6
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,9 Elementary,98.8
Persons aged 15 years and over in Employment (ILO),2014Q1,Part-time,X1 Other/Not stated,
