STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),4.7
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2008Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,173.0
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",6.5
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Construction (F),22.0
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.2
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),5.7
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),26.7
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),4.2
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",4.9
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),13.3
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),5.2
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),39.6
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",4.0
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),7.3
Persons aged 15 years and over in Employment,2008Q3,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2008Q3,UK,All NACE economic sectors,56.3
Persons aged 15 years and over in Employment,2008Q3,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q3,UK,Construction (F),3.9
Persons aged 15 years and over in Employment,2008Q3,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8.5
Persons aged 15 years and over in Employment,2008Q3,UK,Transportation and storage (H),2.8
Persons aged 15 years and over in Employment,2008Q3,UK,Accommodation and food service activities (I),3.8
Persons aged 15 years and over in Employment,2008Q3,UK,Information and communication (J),3.9
Persons aged 15 years and over in Employment,2008Q3,UK,"Professional, scientific and technical activities (M)",3.9
Persons aged 15 years and over in Employment,2008Q3,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2008Q3,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q3,UK,Education (P),2.8
Persons aged 15 years and over in Employment,2008Q3,UK,Human health and social work activities (Q),6.7
Persons aged 15 years and over in Employment,2008Q3,UK,Industry (B to E),6.7
Persons aged 15 years and over in Employment,2008Q3,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q3,UK,Other NACE activities (R to U),4.1
Persons aged 15 years and over in Employment,2008Q3,UK,Not stated,
Persons aged 15 years and over in Employment,2008Q3,Irish,All NACE economic sectors,1864.4
Persons aged 15 years and over in Employment,2008Q3,Irish,"Agriculture, forestry and fishing (A)",104.9
Persons aged 15 years and over in Employment,2008Q3,Irish,Construction (F),173.1
Persons aged 15 years and over in Employment,2008Q3,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),275.2
Persons aged 15 years and over in Employment,2008Q3,Irish,Transportation and storage (H),81.1
Persons aged 15 years and over in Employment,2008Q3,Irish,Accommodation and food service activities (I),92.8
Persons aged 15 years and over in Employment,2008Q3,Irish,Information and communication (J),70.1
Persons aged 15 years and over in Employment,2008Q3,Irish,"Professional, scientific and technical activities (M)",109.3
Persons aged 15 years and over in Employment,2008Q3,Irish,Administrative and support service activities (N),73.1
Persons aged 15 years and over in Employment,2008Q3,Irish,Public administration and defence; compulsory social security (O),96.3
Persons aged 15 years and over in Employment,2008Q3,Irish,Education (P),126.3
Persons aged 15 years and over in Employment,2008Q3,Irish,Human health and social work activities (Q),203.6
Persons aged 15 years and over in Employment,2008Q3,Irish,Industry (B to E),252.6
Persons aged 15 years and over in Employment,2008Q3,Irish,"Financial, insurance and real estate activities (K, L)",98.9
Persons aged 15 years and over in Employment,2008Q3,Irish,Other NACE activities (R to U),97.5
Persons aged 15 years and over in Employment,2008Q3,Irish,Not stated,9.6
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,All NACE economic sectors,345.0
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,"Agriculture, forestry and fishing (A)",8.1
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Construction (F),31.5
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),50.2
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Transportation and storage (H),12.0
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Accommodation and food service activities (I),50.1
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Information and communication (J),17.0
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,"Professional, scientific and technical activities (M)",14.9
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Administrative and support service activities (N),23.6
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Public administration and defence; compulsory social security (O),3.1
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Education (P),10.0
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Human health and social work activities (Q),35.5
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Industry (B to E),58.4
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,"Financial, insurance and real estate activities (K, L)",11.3
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Other NACE activities (R to U),17.9
Persons aged 15 years and over in Employment,2008Q3,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),All NACE economic sectors,80.4
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Construction (F),4.1
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8.8
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Accommodation and food service activities (I),15.9
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Information and communication (J),
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Administrative and support service activities (N),5.0
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Human health and social work activities (Q),20.6
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Industry (B to E),7.3
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Other NACE activities (R to U),4.4
Persons aged 15 years and over in Employment,2008Q3,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2008Q4,All nationalities,All NACE economic sectors,2145.6
Persons aged 15 years and over in Employment,2008Q4,All nationalities,"Agriculture, forestry and fishing (A)",116.6
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Construction (F),189.8
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),312.3
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Transportation and storage (H),88.1
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Accommodation and food service activities (I),125.7
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Information and communication (J),84.3
Persons aged 15 years and over in Employment,2008Q4,All nationalities,"Professional, scientific and technical activities (M)",123.8
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Administrative and support service activities (N),85.0
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Public administration and defence; compulsory social security (O),97.6
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Education (P),150.6
Persons aged 15 years and over in Employment,2008Q4,All nationalities,Human health and social work activities (Q),247.5
