Statistic,Quarter,Region,value
ILO Unemployment Rate (15 - 74 years),2012Q1,Mid-East,14.9
ILO Unemployment Rate (15 - 74 years),2012Q1,Midland,22.6
ILO Unemployment Rate (15 - 74 years),2012Q2,State,15.9
ILO Unemployment Rate (15 - 74 years),2012Q2,Northern and Western,16.4
ILO Unemployment Rate (15 - 74 years),2012Q2,Border,15.0
ILO Unemployment Rate (15 - 74 years),2012Q2,West,17.4
ILO Unemployment Rate (15 - 74 years),2012Q2,Southern,17.1
ILO Unemployment Rate (15 - 74 years),2012Q2,Mid-West,19.3
ILO Unemployment Rate (15 - 74 years),2012Q2,South-East,17.1
ILO Unemployment Rate (15 - 74 years),2012Q2,South-West,15.5
ILO Unemployment Rate (15 - 74 years),2012Q2,Eastern and Midland,14.8
ILO Unemployment Rate (15 - 74 years),2012Q2,Dublin,12.7
ILO Unemployment Rate (15 - 74 years),2012Q2,Mid-East,16.2
ILO Unemployment Rate (15 - 74 years),2012Q2,Midland,22.1
ILO Unemployment Rate (15 - 74 years),2012Q3,State,15.8
ILO Unemployment Rate (15 - 74 years),2012Q3,Northern and Western,16.2
ILO Unemployment Rate (15 - 74 years),2012Q3,Border,16.0
ILO Unemployment Rate (15 - 74 years),2012Q3,West,16.4
ILO Unemployment Rate (15 - 74 years),2012Q3,Southern,16.7
ILO Unemployment Rate (15 - 74 years),2012Q3,Mid-West,20.5
ILO Unemployment Rate (15 - 74 years),2012Q3,South-East,16.6
ILO Unemployment Rate (15 - 74 years),2012Q3,South-West,14.1
ILO Unemployment Rate (15 - 74 years),2012Q3,Eastern and Midland,15.1
ILO Unemployment Rate (15 - 74 years),2012Q3,Dublin,13.3
ILO Unemployment Rate (15 - 74 years),2012Q3,Mid-East,16.3
ILO Unemployment Rate (15 - 74 years),2012Q3,Midland,21.1
ILO Unemployment Rate (15 - 74 years),2012Q4,State,14.5
ILO Unemployment Rate (15 - 74 years),2012Q4,Northern and Western,14.7
ILO Unemployment Rate (15 - 74 years),2012Q4,Border,13.8
ILO Unemployment Rate (15 - 74 years),2012Q4,West,15.4
ILO Unemployment Rate (15 - 74 years),2012Q4,Southern,15.7
ILO Unemployment Rate (15 - 74 years),2012Q4,Mid-West,19.4
ILO Unemployment Rate (15 - 74 years),2012Q4,South-East,15.8
ILO Unemployment Rate (15 - 74 years),2012Q4,South-West,13.0
ILO Unemployment Rate (15 - 74 years),2012Q4,Eastern and Midland,13.6
ILO Unemployment Rate (15 - 74 years),2012Q4,Dublin,11.4
ILO Unemployment Rate (15 - 74 years),2012Q4,Mid-East,15.2
ILO Unemployment Rate (15 - 74 years),2012Q4,Midland,20.2
ILO Unemployment Rate (15 - 74 years),2013Q1,State,14.4
ILO Unemployment Rate (15 - 74 years),2013Q1,Northern and Western,13.1
ILO Unemployment Rate (15 - 74 years),2013Q1,Border,12.3
ILO Unemployment Rate (15 - 74 years),2013Q1,West,13.7
ILO Unemployment Rate (15 - 74 years),2013Q1,Southern,15.2
ILO Unemployment Rate (15 - 74 years),2013Q1,Mid-West,19.1
ILO Unemployment Rate (15 - 74 years),2013Q1,South-East,15.9
ILO Unemployment Rate (15 - 74 years),2013Q1,South-West,12.0
ILO Unemployment Rate (15 - 74 years),2013Q1,Eastern and Midland,14.3
ILO Unemployment Rate (15 - 74 years),2013Q1,Dublin,11.6
ILO Unemployment Rate (15 - 74 years),2013Q1,Mid-East,17.1
ILO Unemployment Rate (15 - 74 years),2013Q1,Midland,20.4
ILO Unemployment Rate (15 - 74 years),2013Q2,State,14.7
ILO Unemployment Rate (15 - 74 years),2013Q2,Northern and Western,13.8
ILO Unemployment Rate (15 - 74 years),2013Q2,Border,12.6
ILO Unemployment Rate (15 - 74 years),2013Q2,West,14.7
ILO Unemployment Rate (15 - 74 years),2013Q2,Southern,15.4
ILO Unemployment Rate (15 - 74 years),2013Q2,Mid-West,18.1
ILO Unemployment Rate (15 - 74 years),2013Q2,South-East,16.4
ILO Unemployment Rate (15 - 74 years),2013Q2,South-West,13.0
ILO Unemployment Rate (15 - 74 years),2013Q2,Eastern and Midland,14.5
ILO Unemployment Rate (15 - 74 years),2013Q2,Dublin,12.4
ILO Unemployment Rate (15 - 74 years),2013Q2,Mid-East,17.0
ILO Unemployment Rate (15 - 74 years),2013Q2,Midland,18.5
ILO Unemployment Rate (15 - 74 years),2013Q3,State,13.7
ILO Unemployment Rate (15 - 74 years),2013Q3,Northern and Western,13.5
ILO Unemployment Rate (15 - 74 years),2013Q3,Border,12.4
ILO Unemployment Rate (15 - 74 years),2013Q3,West,14.4
ILO Unemployment Rate (15 - 74 years),2013Q3,Southern,14.2
ILO Unemployment Rate (15 - 74 years),2013Q3,Mid-West,16.4
ILO Unemployment Rate (15 - 74 years),2013Q3,South-East,15.0
ILO Unemployment Rate (15 - 74 years),2013Q3,South-West,12.3
ILO Unemployment Rate (15 - 74 years),2013Q3,Eastern and Midland,13.4
ILO Unemployment Rate (15 - 74 years),2013Q3,Dublin,10.9
ILO Unemployment Rate (15 - 74 years),2013Q3,Mid-East,16.9
ILO Unemployment Rate (15 - 74 years),2013Q3,Midland,17.2
ILO Unemployment Rate (15 - 74 years),2013Q4,State,12.3
ILO Unemployment Rate (15 - 74 years),2013Q4,Northern and Western,12.4
ILO Unemployment Rate (15 - 74 years),2013Q4,Border,12.1
ILO Unemployment Rate (15 - 74 years),2013Q4,West,12.7
ILO Unemployment Rate (15 - 74 years),2013Q4,Southern,12.4
ILO Unemployment Rate (15 - 74 years),2013Q4,Mid-West,12.6
ILO Unemployment Rate (15 - 74 years),2013Q4,South-East,14.6
ILO Unemployment Rate (15 - 74 years),2013Q4,South-West,11.0
ILO Unemployment Rate (15 - 74 years),2013Q4,Eastern and Midland,12.3
ILO Unemployment Rate (15 - 74 years),2013Q4,Dublin,10.3
ILO Unemployment Rate (15 - 74 years),2013Q4,Mid-East,14.5
ILO Unemployment Rate (15 - 74 years),2013Q4,Midland,16.6
ILO Unemployment Rate (15 - 74 years),2014Q1,State,12.7
ILO Unemployment Rate (15 - 74 years),2014Q1,Northern and Western,11.8
ILO Unemployment Rate (15 - 74 years),2014Q1,Border,11.9
ILO Unemployment Rate (15 - 74 years),2014Q1,West,11.8
ILO Unemployment Rate (15 - 74 years),2014Q1,Southern,13.7
ILO Unemployment Rate (15 - 74 years),2014Q1,Mid-West,15.4
ILO Unemployment Rate (15 - 74 years),2014Q1,South-East,14.3
ILO Unemployment Rate (15 - 74 years),2014Q1,South-West,12.2
ILO Unemployment Rate (15 - 74 years),2014Q1,Eastern and Midland,12.3
ILO Unemployment Rate (15 - 74 years),2014Q1,Dublin,10.7
ILO Unemployment Rate (15 - 74 years),2014Q1,Mid-East,13.5
ILO Unemployment Rate (15 - 74 years),2014Q1,Midland,17.2
ILO Unemployment Rate (15 - 74 years),2014Q2,State,12.5
ILO Unemployment Rate (15 - 74 years),2014Q2,Northern and Western,13.1
ILO Unemployment Rate (15 - 74 years),2014Q2,Border,12.0
ILO Unemployment Rate (15 - 74 years),2014Q2,West,14.0
ILO Unemployment Rate (15 - 74 years),2014Q2,Southern,13.2
ILO Unemployment Rate (15 - 74 years),2014Q2,Mid-West,15.2
ILO Unemployment Rate (15 - 74 years),2014Q2,South-East,13.1
ILO Unemployment Rate (15 - 74 years),2014Q2,South-West,11.9
ILO Unemployment Rate (15 - 74 years),2014Q2,Eastern and Midland,11.8
ILO Unemployment Rate (15 - 74 years),2014Q2,Dublin,10.3
ILO Unemployment Rate (15 - 74 years),2014Q2,Mid-East,12.7
ILO Unemployment Rate (15 - 74 years),2014Q2,Midland,16.8
ILO Unemployment Rate (15 - 74 years),2014Q3,State,12.0
ILO Unemployment Rate (15 - 74 years),2014Q3,Northern and Western,11.4
ILO Unemployment Rate (15 - 74 years),2014Q3,Border,10.4
ILO Unemployment Rate (15 - 74 years),2014Q3,West,12.3
ILO Unemployment Rate (15 - 74 years),2014Q3,Southern,12.3
ILO Unemployment Rate (15 - 74 years),2014Q3,Mid-West,13.4
ILO Unemployment Rate (15 - 74 years),2014Q3,South-East,12.7
ILO Unemployment Rate (15 - 74 years),2014Q3,South-West,11.4
ILO Unemployment Rate (15 - 74 years),2014Q3,Eastern and Midland,11.9
ILO Unemployment Rate (15 - 74 years),2014Q3,Dublin,10.6
ILO Unemployment Rate (15 - 74 years),2014Q3,Mid-East,12.4
ILO Unemployment Rate (15 - 74 years),2014Q3,Midland,17.5
ILO Unemployment Rate (15 - 74 years),2014Q4,State,10.4
ILO Unemployment Rate (15 - 74 years),2014Q4,Northern and Western,9.9
ILO Unemployment Rate (15 - 74 years),2014Q4,Border,8.7
ILO Unemployment Rate (15 - 74 years),2014Q4,West,11.0
ILO Unemployment Rate (15 - 74 years),2014Q4,Southern,11.3
ILO Unemployment Rate (15 - 74 years),2014Q4,Mid-West,11.5
ILO Unemployment Rate (15 - 74 years),2014Q4,South-East,10.9
ILO Unemployment Rate (15 - 74 years),2014Q4,South-West,11.4
ILO Unemployment Rate (15 - 74 years),2014Q4,Eastern and Midland,10.0
ILO Unemployment Rate (15 - 74 years),2014Q4,Dublin,8.9
ILO Unemployment Rate (15 - 74 years),2014Q4,Mid-East,10.0
ILO Unemployment Rate (15 - 74 years),2014Q4,Midland,15.9
ILO Unemployment Rate (15 - 74 years),2015Q1,State,10.5
ILO Unemployment Rate (15 - 74 years),2015Q1,Northern and Western,10.7
ILO Unemployment Rate (15 - 74 years),2015Q1,Border,8.6
ILO Unemployment Rate (15 - 74 years),2015Q1,West,12.6
ILO Unemployment Rate (15 - 74 years),2015Q1,Southern,11.3
ILO Unemployment Rate (15 - 74 years),2015Q1,Mid-West,12.1
ILO Unemployment Rate (15 - 74 years),2015Q1,South-East,11.7
ILO Unemployment Rate (15 - 74 years),2015Q1,South-West,10.5
ILO Unemployment Rate (15 - 74 years),2015Q1,Eastern and Midland,9.8
ILO Unemployment Rate (15 - 74 years),2015Q1,Dublin,9.0
ILO Unemployment Rate (15 - 74 years),2015Q1,Mid-East,9.5
ILO Unemployment Rate (15 - 74 years),2015Q1,Midland,14.8
ILO Unemployment Rate (15 - 74 years),2015Q2,State,10.3
ILO Unemployment Rate (15 - 74 years),2015Q2,Northern and Western,9.7
ILO Unemployment Rate (15 - 74 years),2015Q2,Border,7.9
ILO Unemployment Rate (15 - 74 years),2015Q2,West,11.3
ILO Unemployment Rate (15 - 74 years),2015Q2,Southern,11.6
ILO Unemployment Rate (15 - 74 years),2015Q2,Mid-West,13.5
ILO Unemployment Rate (15 - 74 years),2015Q2,South-East,10.8
ILO Unemployment Rate (15 - 74 years),2015Q2,South-West,10.7
ILO Unemployment Rate (15 - 74 years),2015Q2,Eastern and Midland,9.7
ILO Unemployment Rate (15 - 74 years),2015Q2,Dublin,8.2
ILO Unemployment Rate (15 - 74 years),2015Q2,Mid-East,10.5
ILO Unemployment Rate (15 - 74 years),2015Q2,Midland,14.9
ILO Unemployment Rate (15 - 74 years),2015Q3,State,9.9
ILO Unemployment Rate (15 - 74 years),2015Q3,Northern and Western,10.3
ILO Unemployment Rate (15 - 74 years),2015Q3,Border,8.7
ILO Unemployment Rate (15 - 74 years),2015Q3,West,11.7
ILO Unemployment Rate (15 - 74 years),2015Q3,Southern,10.5
ILO Unemployment Rate (15 - 74 years),2015Q3,Mid-West,12.3
ILO Unemployment Rate (15 - 74 years),2015Q3,South-East,10.3
ILO Unemployment Rate (15 - 74 years),2015Q3,South-West,9.3
ILO Unemployment Rate (15 - 74 years),2015Q3,Eastern and Midland,9.3
ILO Unemployment Rate (15 - 74 years),2015Q3,Dublin,8.3
ILO Unemployment Rate (15 - 74 years),2015Q3,Mid-East,9.4
ILO Unemployment Rate (15 - 74 years),2015Q3,Midland,14.6
ILO Unemployment Rate (15 - 74 years),2015Q4,State,9.1
ILO Unemployment Rate (15 - 74 years),2015Q4,Northern and Western,9.7
ILO Unemployment Rate (15 - 74 years),2015Q4,Border,8.3
ILO Unemployment Rate (15 - 74 years),2015Q4,West,11.1
ILO Unemployment Rate (15 - 74 years),2015Q4,Southern,9.4
ILO Unemployment Rate (15 - 74 years),2015Q4,Mid-West,10.7
ILO Unemployment Rate (15 - 74 years),2015Q4,South-East,10.4
ILO Unemployment Rate (15 - 74 years),2015Q4,South-West,7.9
ILO Unemployment Rate (15 - 74 years),2015Q4,Eastern and Midland,8.6
ILO Unemployment Rate (15 - 74 years),2015Q4,Dublin,7.7
ILO Unemployment Rate (15 - 74 years),2015Q4,Mid-East,8.8
ILO Unemployment Rate (15 - 74 years),2015Q4,Midland,12.8
ILO Unemployment Rate (15 - 74 years),2016Q1,State,8.8
ILO Unemployment Rate (15 - 74 years),2016Q1,Northern and Western,9.2
ILO Unemployment Rate (15 - 74 years),2016Q1,Border,7.4
ILO Unemployment Rate (15 - 74 years),2016Q1,West,10.9
ILO Unemployment Rate (15 - 74 years),2016Q1,Southern,9.7
ILO Unemployment Rate (15 - 74 years),2016Q1,Mid-West,10.7
ILO Unemployment Rate (15 - 74 years),2016Q1,South-East,10.7
ILO Unemployment Rate (15 - 74 years),2016Q1,South-West,8.3
ILO Unemployment Rate (15 - 74 years),2016Q1,Eastern and Midland,8.0
ILO Unemployment Rate (15 - 74 years),2016Q1,Dublin,7.1
ILO Unemployment Rate (15 - 74 years),2016Q1,Mid-East,7.7
ILO Unemployment Rate (15 - 74 years),2016Q1,Midland,13.7
ILO Unemployment Rate (15 - 74 years),2016Q2,State,9.1
ILO Unemployment Rate (15 - 74 years),2016Q2,Northern and Western,9.0
ILO Unemployment Rate (15 - 74 years),2016Q2,Border,7.8
ILO Unemployment Rate (15 - 74 years),2016Q2,West,10.0
ILO Unemployment Rate (15 - 74 years),2016Q2,Southern,9.2
ILO Unemployment Rate (15 - 74 years),2016Q2,Mid-West,10.8
ILO Unemployment Rate (15 - 74 years),2016Q2,South-East,9.4
ILO Unemployment Rate (15 - 74 years),2016Q2,South-West,8.0
ILO Unemployment Rate (15 - 74 years),2016Q2,Eastern and Midland,9.0
ILO Unemployment Rate (15 - 74 years),2016Q2,Dublin,8.3
ILO Unemployment Rate (15 - 74 years),2016Q2,Mid-East,9.0
ILO Unemployment Rate (15 - 74 years),2016Q2,Midland,13.1
ILO Unemployment Rate (15 - 74 years),2016Q3,State,8.5
ILO Unemployment Rate (15 - 74 years),2016Q3,Northern and Western,8.3
ILO Unemployment Rate (15 - 74 years),2016Q3,Border,7.5
ILO Unemployment Rate (15 - 74 years),2016Q3,West,9.2
ILO Unemployment Rate (15 - 74 years),2016Q3,Southern,8.3
ILO Unemployment Rate (15 - 74 years),2016Q3,Mid-West,10.0
ILO Unemployment Rate (15 - 74 years),2016Q3,South-East,8.9
ILO Unemployment Rate (15 - 74 years),2016Q3,South-West,6.8
ILO Unemployment Rate (15 - 74 years),2016Q3,Eastern and Midland,8.8
ILO Unemployment Rate (15 - 74 years),2016Q3,Dublin,7.7
ILO Unemployment Rate (15 - 74 years),2016Q3,Mid-East,9.7
ILO Unemployment Rate (15 - 74 years),2016Q3,Midland,12.2
ILO Unemployment Rate (15 - 74 years),2016Q4,State,7.2
ILO Unemployment Rate (15 - 74 years),2016Q4,Northern and Western,7.2
ILO Unemployment Rate (15 - 74 years),2016Q4,Border,6.0
ILO Unemployment Rate (15 - 74 years),2016Q4,West,8.3
ILO Unemployment Rate (15 - 74 years),2016Q4,Southern,7.3
ILO Unemployment Rate (15 - 74 years),2016Q4,Mid-West,8.5
ILO Unemployment Rate (15 - 74 years),2016Q4,South-East,7.8
ILO Unemployment Rate (15 - 74 years),2016Q4,South-West,6.1
ILO Unemployment Rate (15 - 74 years),2016Q4,Eastern and Midland,7.2
ILO Unemployment Rate (15 - 74 years),2016Q4,Dublin,6.3
ILO Unemployment Rate (15 - 74 years),2016Q4,Mid-East,8.1
ILO Unemployment Rate (15 - 74 years),2016Q4,Midland,9.4
ILO Unemployment Rate (15 - 74 years),2017Q1,State,7.1
ILO Unemployment Rate (15 - 74 years),2017Q1,Northern and Western,6.2
ILO Unemployment Rate (15 - 74 years),2017Q1,Border,5.0
ILO Unemployment Rate (15 - 74 years),2017Q1,West,7.1
ILO Unemployment Rate (15 - 74 years),2017Q1,Southern,7.6
ILO Unemployment Rate (15 - 74 years),2017Q1,Mid-West,9.3
ILO Unemployment Rate (15 - 74 years),2017Q1,South-East,7.6
ILO Unemployment Rate (15 - 74 years),2017Q1,South-West,6.3
ILO Unemployment Rate (15 - 74 years),2017Q1,Eastern and Midland,7.1
ILO Unemployment Rate (15 - 74 years),2017Q1,Dublin,6.3
ILO Unemployment Rate (15 - 74 years),2017Q1,Mid-East,7.9
ILO Unemployment Rate (15 - 74 years),2017Q1,Midland,9.2
ILO Unemployment Rate (15 - 74 years),2017Q2,State,6.9
ILO Unemployment Rate (15 - 74 years),2017Q2,Northern and Western,5.8
ILO Unemployment Rate (15 - 74 years),2017Q2,Border,4.4
ILO Unemployment Rate (15 - 74 years),2017Q2,West,7.1
ILO Unemployment Rate (15 - 74 years),2017Q2,Southern,6.6
ILO Unemployment Rate (15 - 74 years),2017Q2,Mid-West,8.8
ILO Unemployment Rate (15 - 74 years),2017Q2,South-East,6.6
ILO Unemployment Rate (15 - 74 years),2017Q2,South-West,5.1
ILO Unemployment Rate (15 - 74 years),2017Q2,Eastern and Midland,7.4
ILO Unemployment Rate (15 - 74 years),2017Q2,Dublin,6.3
ILO Unemployment Rate (15 - 74 years),2017Q2,Mid-East,8.6
ILO Unemployment Rate (15 - 74 years),2017Q2,Midland,10.2
