Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2023Q4,Construction (F),All countries excluding Ireland,27.5
Persons aged 15 years and over in Employment,2023Q4,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,343.8
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),27.8
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,7.3
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,282.0
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,61.8
Persons aged 15 years and over in Employment,2023Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",17.5
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),All Countries,109.6
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),Ireland,92.9
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),All countries excluding Ireland,16.7
Persons aged 15 years and over in Employment,2023Q4,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),All Countries,183.1
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),21.3
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),Ireland,127.7
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),All countries excluding Ireland,55.4
Persons aged 15 years and over in Employment,2023Q4,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",24.0
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),All Countries,168.9
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),15.4
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),Ireland,104.4
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),All countries excluding Ireland,64.5
Persons aged 15 years and over in Employment,2023Q4,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",36.2
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",All Countries,186.6
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",Ireland,148.4
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)",All countries excluding Ireland,38.2
Persons aged 15 years and over in Employment,2023Q4,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",20.3
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),All Countries,106.5
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),10.0
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),Ireland,78.0
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),All countries excluding Ireland,28.5
Persons aged 15 years and over in Employment,2023Q4,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",13.1
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",All Countries,142.7
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",Ireland,136.5
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2023Q4,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,Education (P),All Countries,235.0
Persons aged 15 years and over in Employment,2023Q4,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2023Q4,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Education (P),Ireland,208.9
Persons aged 15 years and over in Employment,2023Q4,Education (P),All countries excluding Ireland,26.1
Persons aged 15 years and over in Employment,2023Q4,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),All Countries,365.3
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),10.7
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),Ireland,291.5
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),All countries excluding Ireland,73.8
Persons aged 15 years and over in Employment,2023Q4,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",51.7
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),All Countries,320.4
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),9.4
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),38.5
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),Ireland,244.9
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),All countries excluding Ireland,75.5
Persons aged 15 years and over in Employment,2023Q4,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",24.5
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),All Countries,481.7
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),12.3
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),53.1
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),Ireland,378.8
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),All countries excluding Ireland,103.0
Persons aged 15 years and over in Employment,2023Q4,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",32.6
Persons aged 15 years and over in Employment,2023Q4,Services (G to U),All Countries,2104.3
Persons aged 15 years and over in Employment,2023Q4,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),67.1
Persons aged 15 years and over in Employment,2023Q4,Services (G to U),EU15 to EU27 (accession countries joined post 2004),112.2
