Statistic,Quarter,NACE Rev 2 Economic Sector,value
Proportion of total students in employment (PES),2006Q3,"Professional, scientific and technical activities (M)",2.6
Proportion of total students in employment (PES),2006Q3,Administrative and support service activities (N),3.3
Proportion of total students in employment (PES),2006Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2006Q3,Education (P),
Proportion of total students in employment (PES),2006Q3,Human health and social work activities (Q),4.6
Proportion of total students in employment (PES),2006Q3,Industry (B to E),5.8
Proportion of total students in employment (PES),2006Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2006Q3,Other NACE activities (R to U),9.1
Proportion of total students in employment (PES),2006Q3,Industry and Construction (B to F),11.3
Proportion of total students in employment (PES),2006Q3,Services (G to U),85.1
Proportion of total students in employment (PES),2006Q3,Not stated,
Proportion of total students in employment (PES),2006Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2006Q4,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2006Q4,Construction (F),
Proportion of total students in employment (PES),2006Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),44.9
Proportion of total students in employment (PES),2006Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2006Q4,Accommodation and food service activities (I),24.7
Proportion of total students in employment (PES),2006Q4,Information and communication (J),
Proportion of total students in employment (PES),2006Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2006Q4,Administrative and support service activities (N),3.7
Proportion of total students in employment (PES),2006Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2006Q4,Education (P),
Proportion of total students in employment (PES),2006Q4,Human health and social work activities (Q),3.9
Proportion of total students in employment (PES),2006Q4,Industry (B to E),
Proportion of total students in employment (PES),2006Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2006Q4,Other NACE activities (R to U),9.7
Proportion of total students in employment (PES),2006Q4,Industry and Construction (B to F),3.8
Proportion of total students in employment (PES),2006Q4,Services (G to U),94.8
Proportion of total students in employment (PES),2006Q4,Not stated,
Proportion of total students in employment (PES),2007Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2007Q1,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2007Q1,Construction (F),
Proportion of total students in employment (PES),2007Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),45.1
Proportion of total students in employment (PES),2007Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2007Q1,Accommodation and food service activities (I),25.3
Proportion of total students in employment (PES),2007Q1,Information and communication (J),
Proportion of total students in employment (PES),2007Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2007Q1,Administrative and support service activities (N),3.8
Proportion of total students in employment (PES),2007Q1,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2007Q1,Education (P),
Proportion of total students in employment (PES),2007Q1,Human health and social work activities (Q),3.9
Proportion of total students in employment (PES),2007Q1,Industry (B to E),
Proportion of total students in employment (PES),2007Q1,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2007Q1,Other NACE activities (R to U),7.7
Proportion of total students in employment (PES),2007Q1,Industry and Construction (B to F),2.8
Proportion of total students in employment (PES),2007Q1,Services (G to U),94.2
Proportion of total students in employment (PES),2007Q1,Not stated,
Proportion of total students in employment (PES),2007Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2007Q2,"Agriculture, forestry and fishing (A)",2.6
Proportion of total students in employment (PES),2007Q2,Construction (F),2.5
Proportion of total students in employment (PES),2007Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),40.3
Proportion of total students in employment (PES),2007Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2007Q2,Accommodation and food service activities (I),25.4
Proportion of total students in employment (PES),2007Q2,Information and communication (J),
Proportion of total students in employment (PES),2007Q2,"Professional, scientific and technical activities (M)",2.7
Proportion of total students in employment (PES),2007Q2,Administrative and support service activities (N),3.5
Proportion of total students in employment (PES),2007Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2007Q2,Education (P),2.4
Proportion of total students in employment (PES),2007Q2,Human health and social work activities (Q),4.2
Proportion of total students in employment (PES),2007Q2,Industry (B to E),
Proportion of total students in employment (PES),2007Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2007Q2,Other NACE activities (R to U),7.8
Proportion of total students in employment (PES),2007Q2,Industry and Construction (B to F),4.4
Proportion of total students in employment (PES),2007Q2,Services (G to U),92.7
Proportion of total students in employment (PES),2007Q2,Not stated,
Proportion of total students in employment (PES),2007Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2007Q3,"Agriculture, forestry and fishing (A)",3.6
Proportion of total students in employment (PES),2007Q3,Construction (F),4.7
Proportion of total students in employment (PES),2007Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),37.0
Proportion of total students in employment (PES),2007Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2007Q3,Accommodation and food service activities (I),21.5
Proportion of total students in employment (PES),2007Q3,Information and communication (J),
Proportion of total students in employment (PES),2007Q3,"Professional, scientific and technical activities (M)",3.9
