Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Industry and Construction (B to F),111.4
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Services (G to U),96.8
Persons aged 15 years and over in Employment (ILO),2015Q4,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",All NACE economic sectors,164.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Accommodation and food service activities (I),6.7
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Administrative and support service activities (N),4.5
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Education (P),16.1
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Human health and social work activities (Q),88.0
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Other NACE activities (R to U),39.3
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Services (G to U),161.2
Persons aged 15 years and over in Employment (ILO),2015Q4,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,All NACE economic sectors,167.0
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),125.8
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Accommodation and food service activities (I),5.0
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Information and communication (J),6.2
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Administrative and support service activities (N),6.8
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Industry (B to E),5.4
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",6.4
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Other NACE activities (R to U),3.1
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Industry and Construction (B to F),6.3
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Services (G to U),160.6
Persons aged 15 years and over in Employment (ILO),2015Q4,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",All NACE economic sectors,157.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Construction (F),15.7
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),13.5
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Transportation and storage (H),45.4
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Industry (B to E),62.6
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Industry and Construction (B to F),78.3
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Services (G to U),76.8
Persons aged 15 years and over in Employment (ILO),2015Q4,"8 Process, plant and machine operatives",Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,All NACE economic sectors,235.0
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,"Agriculture, forestry and fishing (A)",12.7
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Construction (F),11.0
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.6
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Transportation and storage (H),15.1
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Accommodation and food service activities (I),78.4
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Administrative and support service activities (N),31.8
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Public administration and defence; compulsory social security (O),4.2
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Education (P),5.7
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Human health and social work activities (Q),12.6
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Industry (B to E),28.2
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Other NACE activities (R to U),9.4
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Industry and Construction (B to F),39.1
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Services (G to U),182.6
Persons aged 15 years and over in Employment (ILO),2015Q4,9 Elementary,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,All NACE economic sectors,13.5
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Construction (F),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2015Q4,X1 Other/Not stated,Public administration and defence; compulsory social security (O),
