Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other reasons,Both sexes,36.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other reasons,Male,15.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,Other reasons,Female,20.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,No answer given,Both sexes,25.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,No answer given,Male,10.1
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q1,No answer given,Female,15.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,All reasons for being in part-time employment,Both sexes,470.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,All reasons for being in part-time employment,Male,154.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,All reasons for being in part-time employment,Female,315.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,"School, education or training",Both sexes,71.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,"School, education or training",Male,34.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,"School, education or training",Female,37.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Illness or disability,Both sexes,7.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Illness or disability,Male,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Illness or disability,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Looking after children or incapacitated adults,Both sexes,73.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Looking after children or incapacitated adults,Male,4.1
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Looking after children or incapacitated adults,Female,69.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other personal or family reasons,Both sexes,93.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other personal or family reasons,Male,15.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other personal or family reasons,Female,78.1
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Could not find full-time employment,Both sexes,160.1
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Could not find full-time employment,Male,70.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Could not find full-time employment,Female,89.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other reasons,Both sexes,40.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other reasons,Male,16.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,Other reasons,Female,23.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,No answer given,Both sexes,23.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,No answer given,Male,9.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q2,No answer given,Female,13.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,All reasons for being in part-time employment,Both sexes,470.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,All reasons for being in part-time employment,Male,152.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,All reasons for being in part-time employment,Female,318.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,"School, education or training",Both sexes,80.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,"School, education or training",Male,36.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,"School, education or training",Female,43.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Illness or disability,Both sexes,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Illness or disability,Male,2.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Illness or disability,Female,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Looking after children or incapacitated adults,Both sexes,73.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Looking after children or incapacitated adults,Male,3.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Looking after children or incapacitated adults,Female,69.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other personal or family reasons,Both sexes,94.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other personal or family reasons,Male,15.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other personal or family reasons,Female,78.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Could not find full-time employment,Both sexes,154.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Could not find full-time employment,Male,68.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Could not find full-time employment,Female,86.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other reasons,Both sexes,41.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other reasons,Male,16.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,Other reasons,Female,25.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,No answer given,Both sexes,20.5
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,No answer given,Male,8.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q3,No answer given,Female,11.8
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,All reasons for being in part-time employment,Both sexes,471.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,All reasons for being in part-time employment,Male,149.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,All reasons for being in part-time employment,Female,322.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,"School, education or training",Both sexes,67.4
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,"School, education or training",Male,28.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,"School, education or training",Female,39.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Illness or disability,Both sexes,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Illness or disability,Male,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Illness or disability,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Looking after children or incapacitated adults,Both sexes,77.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Looking after children or incapacitated adults,Female,74.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other personal or family reasons,Both sexes,100.2
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other personal or family reasons,Male,16.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other personal or family reasons,Female,83.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Could not find full-time employment,Both sexes,153.6
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Could not find full-time employment,Male,70.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Could not find full-time employment,Female,82.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other reasons,Both sexes,42.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other reasons,Male,16.3
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,Other reasons,Female,26.0
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,No answer given,Both sexes,24.7
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,No answer given,Male,10.9
Persons aged 15 years and over in Part-Time Employment (ILO),2015Q4,No answer given,Female,13.8
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,All reasons for being in part-time employment,Both sexes,475.4
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,All reasons for being in part-time employment,Male,154.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,All reasons for being in part-time employment,Female,320.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,"School, education or training",Both sexes,72.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,"School, education or training",Male,36.2
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,"School, education or training",Female,36.5
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Illness or disability,Both sexes,6.4
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Illness or disability,Male,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Illness or disability,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Looking after children or incapacitated adults,Both sexes,76.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Looking after children or incapacitated adults,Male,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Looking after children or incapacitated adults,Female,72.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other personal or family reasons,Both sexes,108.1
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other personal or family reasons,Male,16.9
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other personal or family reasons,Female,91.2
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Could not find full-time employment,Both sexes,146.1
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Could not find full-time employment,Male,67.1
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Could not find full-time employment,Female,79.0
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other reasons,Both sexes,43.3
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other reasons,Male,17.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,Other reasons,Female,25.6
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,No answer given,Both sexes,22.1
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,No answer given,Male,8.8
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q1,No answer given,Female,13.3
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,All reasons for being in part-time employment,Both sexes,487.8
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,All reasons for being in part-time employment,Male,162.2
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,All reasons for being in part-time employment,Female,325.6
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,"School, education or training",Both sexes,89.6
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,"School, education or training",Male,44.5
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,"School, education or training",Female,45.1
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Illness or disability,Both sexes,5.6
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Illness or disability,Male,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Illness or disability,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Looking after children or incapacitated adults,Both sexes,79.9
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Looking after children or incapacitated adults,Male,5.7
Persons aged 15 years and over in Part-Time Employment (ILO),2016Q2,Looking after children or incapacitated adults,Female,74.2
