Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2001Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2001Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2002Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2002Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2002Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2002Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2003Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2003Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2003Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2003Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2004Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2004Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2004Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2004Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2005Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2005Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2005Q3,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2005Q4,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2006Q1,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2006Q2,
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2006Q3,108.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2006Q4,105.2
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2007Q1,104.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2007Q2,102.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2007Q3,107.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2007Q4,108.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2008Q1,108.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2008Q2,107.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2008Q3,105.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2008Q4,107.9
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2009Q1,103.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2009Q2,108.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2009Q3,108.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2009Q4,105.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2010Q1,100.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2010Q2,102.4
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2010Q3,104.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2010Q4,101.1
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2011Q1,98.5
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2011Q2,102.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2011Q3,97.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2011Q4,95.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2012Q1,95.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2012Q2,103.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2012Q3,99.1
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2012Q4,99.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2013Q1,98.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2013Q2,104.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2013Q3,103.2
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2013Q4,105.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2014Q1,100.2
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2014Q2,99.5
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2014Q3,100.9
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2014Q4,97.5
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2015Q1,100.4
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2015Q2,105.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2015Q3,105.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2015Q4,100.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2016Q1,100.8
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2016Q2,108.5
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2016Q3,109.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2016Q4,103.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2017Q1,101.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2017Q2,103.4
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2017Q3,106.0
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2017Q4,106.9
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2018Q1,109.9
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2018Q2,101.9
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2018Q3,100.1
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2018Q4,100.7
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2019Q1,100.3
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2019Q2,97.6
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2019Q3,95.5
Persons aged 15 years and over in Employment,Irish,"Agriculture, forestry and fishing (A)",2019Q4,101.9
Persons aged 15 years and over in Employment,Irish,Construction (F),1998Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),1998Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),1998Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),1998Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),1999Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),1999Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),1999Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),1999Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2000Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2000Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2000Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2000Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2001Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2001Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2001Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2001Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2002Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2002Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2002Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2002Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2003Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2003Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2003Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2003Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2004Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2004Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2004Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2004Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2005Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2005Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2005Q3,
Persons aged 15 years and over in Employment,Irish,Construction (F),2005Q4,
Persons aged 15 years and over in Employment,Irish,Construction (F),2006Q1,
Persons aged 15 years and over in Employment,Irish,Construction (F),2006Q2,
Persons aged 15 years and over in Employment,Irish,Construction (F),2006Q3,198.2
Persons aged 15 years and over in Employment,Irish,Construction (F),2006Q4,197.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2007Q1,197.5
Persons aged 15 years and over in Employment,Irish,Construction (F),2007Q2,199.3
Persons aged 15 years and over in Employment,Irish,Construction (F),2007Q3,196.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2007Q4,192.5
Persons aged 15 years and over in Employment,Irish,Construction (F),2008Q1,186.7
Persons aged 15 years and over in Employment,Irish,Construction (F),2008Q2,179.9
Persons aged 15 years and over in Employment,Irish,Construction (F),2008Q3,173.2
Persons aged 15 years and over in Employment,Irish,Construction (F),2008Q4,160.3
Persons aged 15 years and over in Employment,Irish,Construction (F),2009Q1,131.9
Persons aged 15 years and over in Employment,Irish,Construction (F),2009Q2,115.3
Persons aged 15 years and over in Employment,Irish,Construction (F),2009Q3,112.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2009Q4,101.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2010Q1,93.9
Persons aged 15 years and over in Employment,Irish,Construction (F),2010Q2,92.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2010Q3,85.0
Persons aged 15 years and over in Employment,Irish,Construction (F),2010Q4,80.8
Persons aged 15 years and over in Employment,Irish,Construction (F),2011Q1,79.3
Persons aged 15 years and over in Employment,Irish,Construction (F),2011Q2,77.8
Persons aged 15 years and over in Employment,Irish,Construction (F),2011Q3,79.5
Persons aged 15 years and over in Employment,Irish,Construction (F),2011Q4,79.7
Persons aged 15 years and over in Employment,Irish,Construction (F),2012Q1,76.0
Persons aged 15 years and over in Employment,Irish,Construction (F),2012Q2,72.7
Persons aged 15 years and over in Employment,Irish,Construction (F),2012Q3,74.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2012Q4,76.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2013Q1,70.9
Persons aged 15 years and over in Employment,Irish,Construction (F),2013Q2,76.1
Persons aged 15 years and over in Employment,Irish,Construction (F),2013Q3,81.2
Persons aged 15 years and over in Employment,Irish,Construction (F),2013Q4,79.4
Persons aged 15 years and over in Employment,Irish,Construction (F),2014Q1,77.6
Persons aged 15 years and over in Employment,Irish,Construction (F),2014Q2,81.3
Persons aged 15 years and over in Employment,Irish,Construction (F),2014Q3,85.9
Persons aged 15 years and over in Employment,Irish,Construction (F),2014Q4,88.2
Persons aged 15 years and over in Employment,Irish,Construction (F),2015Q1,93.0
Persons aged 15 years and over in Employment,Irish,Construction (F),2015Q2,96.0
Persons aged 15 years and over in Employment,Irish,Construction (F),2015Q3,98.0
