Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",81.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Other NACE activities (R to U),87.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,All NACE economic sectors,1076.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,"Agriculture, forestry and fishing (A)",110.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Construction (F),148.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",131.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Transportation and storage (H),67.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Accommodation and food service activities (I),52.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Information and communication (J),50.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,"Professional, scientific and technical activities (M)",53.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Administrative and support service activities (N),33.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,"Public administration and defence, compulsory social security (O)",44.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Education (P),33.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Human health and social work activities (Q),34.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Industry (B to E),234.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,"Financial, insurance and real estate activities (K,L)",37.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Other NACE activities (R to U),39.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,All NACE economic sectors,764.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,"Agriculture, forestry and fishing (A)",15.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Construction (F),6.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",130.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Transportation and storage (H),16.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Accommodation and food service activities (I),63.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Information and communication (J),30.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,"Professional, scientific and technical activities (M)",38.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Administrative and support service activities (N),34.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,"Public administration and defence, compulsory social security (O)",32.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Education (P),71.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Human health and social work activities (Q),128.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Industry (B to E),101.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,"Financial, insurance and real estate activities (K,L)",44.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Other NACE activities (R to U),47.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2001Q4,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,All NACE economic sectors,1843.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,"Agriculture, forestry and fishing (A)",122.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Construction (F),153.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",262.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Transportation and storage (H),84.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Accommodation and food service activities (I),115.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Information and communication (J),82.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,"Professional, scientific and technical activities (M)",91.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Administrative and support service activities (N),65.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,"Public administration and defence, compulsory social security (O)",80.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Education (P),107.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Human health and social work activities (Q),168.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Industry (B to E),329.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",82.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Other NACE activities (R to U),86.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,All NACE economic sectors,1073.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,"Agriculture, forestry and fishing (A)",108.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Construction (F),147.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",131.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Transportation and storage (H),67.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Accommodation and food service activities (I),53.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Information and communication (J),50.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,"Professional, scientific and technical activities (M)",53.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Administrative and support service activities (N),31.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,"Public administration and defence, compulsory social security (O)",44.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Education (P),33.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Human health and social work activities (Q),36.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Industry (B to E),232.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,"Financial, insurance and real estate activities (K,L)",37.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Other NACE activities (R to U),39.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,All NACE economic sectors,769.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,"Agriculture, forestry and fishing (A)",14.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Construction (F),6.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",130.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Transportation and storage (H),17.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Accommodation and food service activities (I),62.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Information and communication (J),31.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,"Professional, scientific and technical activities (M)",38.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Administrative and support service activities (N),33.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,"Public administration and defence, compulsory social security (O)",35.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Education (P),73.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Human health and social work activities (Q),132.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Industry (B to E),97.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,"Financial, insurance and real estate activities (K,L)",44.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Other NACE activities (R to U),47.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q1,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,All NACE economic sectors,1847.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,"Agriculture, forestry and fishing (A)",124.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Construction (F),153.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",263.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Transportation and storage (H),86.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Accommodation and food service activities (I),113.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Information and communication (J),80.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,"Professional, scientific and technical activities (M)",92.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Administrative and support service activities (N),66.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,"Public administration and defence, compulsory social security (O)",83.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Education (P),108.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Human health and social work activities (Q),170.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Industry (B to E),324.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",82.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Other NACE activities (R to U),88.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,All NACE economic sectors,1076.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,"Agriculture, forestry and fishing (A)",109.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,Construction (F),147.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",131.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,Transportation and storage (H),68.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,Accommodation and food service activities (I),52.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2002Q2,Male,Information and communication (J),49.7
