Statistic,Quarter,Age Group,Sex,value
Persons aged 15 years and over in Employment,2000Q2,15 - 19 years,Both sexes,139.9
Persons aged 15 years and over in Employment,2000Q2,15 - 19 years,Male,82.9
Persons aged 15 years and over in Employment,2000Q2,15 - 19 years,Female,57.0
Persons aged 15 years and over in Employment,2000Q2,15 - 24 years,Both sexes,390.9
Persons aged 15 years and over in Employment,2000Q2,15 - 24 years,Male,217.1
Persons aged 15 years and over in Employment,2000Q2,15 - 24 years,Female,173.8
Persons aged 15 years and over in Employment,2000Q2,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q2,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2000Q2,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2000Q2,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q2,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2000Q2,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2000Q2,15 years and over,Both sexes,1758.2
Persons aged 15 years and over in Employment,2000Q2,15 years and over,Male,1041.8
Persons aged 15 years and over in Employment,2000Q2,15 years and over,Female,716.4
Persons aged 15 years and over in Employment,2000Q2,20 - 24 years,Both sexes,251.0
Persons aged 15 years and over in Employment,2000Q2,20 - 24 years,Male,134.2
Persons aged 15 years and over in Employment,2000Q2,20 - 24 years,Female,116.8
Persons aged 15 years and over in Employment,2000Q2,25 - 34 years,Both sexes,464.8
Persons aged 15 years and over in Employment,2000Q2,25 - 34 years,Male,257.1
Persons aged 15 years and over in Employment,2000Q2,25 - 34 years,Female,207.7
Persons aged 15 years and over in Employment,2000Q2,35 - 44 years,Both sexes,409.3
Persons aged 15 years and over in Employment,2000Q2,35 - 44 years,Male,242.1
Persons aged 15 years and over in Employment,2000Q2,35 - 44 years,Female,167.3
Persons aged 15 years and over in Employment,2000Q2,45 - 54 years,Both sexes,314.2
Persons aged 15 years and over in Employment,2000Q2,45 - 54 years,Male,197.3
Persons aged 15 years and over in Employment,2000Q2,45 - 54 years,Female,117.0
Persons aged 15 years and over in Employment,2000Q2,55 - 59 years,Both sexes,93.2
Persons aged 15 years and over in Employment,2000Q2,55 - 59 years,Male,63.9
Persons aged 15 years and over in Employment,2000Q2,55 - 59 years,Female,29.4
Persons aged 15 years and over in Employment,2000Q2,60 - 64 years,Both sexes,53.8
Persons aged 15 years and over in Employment,2000Q2,60 - 64 years,Male,39.6
Persons aged 15 years and over in Employment,2000Q2,60 - 64 years,Female,14.2
Persons aged 15 years and over in Employment,2000Q2,65 years and over,Both sexes,31.9
Persons aged 15 years and over in Employment,2000Q2,65 years and over,Male,24.8
Persons aged 15 years and over in Employment,2000Q2,65 years and over,Female,7.1
Persons aged 15 years and over in Employment,2000Q2,25 - 74 years,Both sexes,1362.1
Persons aged 15 years and over in Employment,2000Q2,25 - 74 years,Male,820.6
Persons aged 15 years and over in Employment,2000Q2,25 - 74 years,Female,541.5
Persons aged 15 years and over in Employment,2000Q3,15 - 19 years,Both sexes,175.1
Persons aged 15 years and over in Employment,2000Q3,15 - 19 years,Male,100.7
Persons aged 15 years and over in Employment,2000Q3,15 - 19 years,Female,74.4
Persons aged 15 years and over in Employment,2000Q3,15 - 24 years,Both sexes,441.3
Persons aged 15 years and over in Employment,2000Q3,15 - 24 years,Male,240.9
Persons aged 15 years and over in Employment,2000Q3,15 - 24 years,Female,200.5
Persons aged 15 years and over in Employment,2000Q3,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q3,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2000Q3,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2000Q3,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q3,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2000Q3,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2000Q3,15 years and over,Both sexes,1818.4
Persons aged 15 years and over in Employment,2000Q3,15 years and over,Male,1073.3
Persons aged 15 years and over in Employment,2000Q3,15 years and over,Female,745.2
Persons aged 15 years and over in Employment,2000Q3,20 - 24 years,Both sexes,266.3
Persons aged 15 years and over in Employment,2000Q3,20 - 24 years,Male,140.1
Persons aged 15 years and over in Employment,2000Q3,20 - 24 years,Female,126.1
Persons aged 15 years and over in Employment,2000Q3,25 - 34 years,Both sexes,469.9
Persons aged 15 years and over in Employment,2000Q3,25 - 34 years,Male,260.6
Persons aged 15 years and over in Employment,2000Q3,25 - 34 years,Female,209.2
Persons aged 15 years and over in Employment,2000Q3,35 - 44 years,Both sexes,411.2
Persons aged 15 years and over in Employment,2000Q3,35 - 44 years,Male,244.0
Persons aged 15 years and over in Employment,2000Q3,35 - 44 years,Female,167.1
Persons aged 15 years and over in Employment,2000Q3,45 - 54 years,Both sexes,316.1
Persons aged 15 years and over in Employment,2000Q3,45 - 54 years,Male,198.3
Persons aged 15 years and over in Employment,2000Q3,45 - 54 years,Female,117.8
Persons aged 15 years and over in Employment,2000Q3,55 - 59 years,Both sexes,94.2
Persons aged 15 years and over in Employment,2000Q3,55 - 59 years,Male,64.6
Persons aged 15 years and over in Employment,2000Q3,55 - 59 years,Female,29.6
Persons aged 15 years and over in Employment,2000Q3,60 - 64 years,Both sexes,55.4
Persons aged 15 years and over in Employment,2000Q3,60 - 64 years,Male,40.6
Persons aged 15 years and over in Employment,2000Q3,60 - 64 years,Female,14.8
Persons aged 15 years and over in Employment,2000Q3,65 years and over,Both sexes,30.4
Persons aged 15 years and over in Employment,2000Q3,65 years and over,Male,24.3
Persons aged 15 years and over in Employment,2000Q3,65 years and over,Female,6.1
Persons aged 15 years and over in Employment,2000Q3,25 - 74 years,Both sexes,1372.3
Persons aged 15 years and over in Employment,2000Q3,25 - 74 years,Male,828.7
Persons aged 15 years and over in Employment,2000Q3,25 - 74 years,Female,543.6
Persons aged 15 years and over in Employment,2000Q4,15 - 19 years,Both sexes,132.0
Persons aged 15 years and over in Employment,2000Q4,15 - 19 years,Male,78.0
Persons aged 15 years and over in Employment,2000Q4,15 - 19 years,Female,54.0
Persons aged 15 years and over in Employment,2000Q4,15 - 24 years,Both sexes,387.9
Persons aged 15 years and over in Employment,2000Q4,15 - 24 years,Male,214.0
Persons aged 15 years and over in Employment,2000Q4,15 - 24 years,Female,173.8
Persons aged 15 years and over in Employment,2000Q4,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q4,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2000Q4,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2000Q4,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2000Q4,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2000Q4,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2000Q4,15 years and over,Both sexes,1787.6
Persons aged 15 years and over in Employment,2000Q4,15 years and over,Male,1057.7
Persons aged 15 years and over in Employment,2000Q4,15 years and over,Female,729.9
Persons aged 15 years and over in Employment,2000Q4,20 - 24 years,Both sexes,255.9
Persons aged 15 years and over in Employment,2000Q4,20 - 24 years,Male,136.1
Persons aged 15 years and over in Employment,2000Q4,20 - 24 years,Female,119.8
Persons aged 15 years and over in Employment,2000Q4,25 - 34 years,Both sexes,478.4
Persons aged 15 years and over in Employment,2000Q4,25 - 34 years,Male,264.5
Persons aged 15 years and over in Employment,2000Q4,25 - 34 years,Female,213.9
Persons aged 15 years and over in Employment,2000Q4,35 - 44 years,Both sexes,415.7
Persons aged 15 years and over in Employment,2000Q4,35 - 44 years,Male,246.5
Persons aged 15 years and over in Employment,2000Q4,35 - 44 years,Female,169.2
Persons aged 15 years and over in Employment,2000Q4,45 - 54 years,Both sexes,320.9
Persons aged 15 years and over in Employment,2000Q4,45 - 54 years,Male,200.5
Persons aged 15 years and over in Employment,2000Q4,45 - 54 years,Female,120.4
Persons aged 15 years and over in Employment,2000Q4,55 - 59 years,Both sexes,98.2
Persons aged 15 years and over in Employment,2000Q4,55 - 59 years,Male,66.9
Persons aged 15 years and over in Employment,2000Q4,55 - 59 years,Female,31.4
Persons aged 15 years and over in Employment,2000Q4,60 - 64 years,Both sexes,55.5
Persons aged 15 years and over in Employment,2000Q4,60 - 64 years,Male,40.6
Persons aged 15 years and over in Employment,2000Q4,60 - 64 years,Female,15.0
Persons aged 15 years and over in Employment,2000Q4,65 years and over,Both sexes,30.9
Persons aged 15 years and over in Employment,2000Q4,65 years and over,Male,24.8
Persons aged 15 years and over in Employment,2000Q4,65 years and over,Female,6.2
Persons aged 15 years and over in Employment,2000Q4,25 - 74 years,Both sexes,1394.7
Persons aged 15 years and over in Employment,2000Q4,25 - 74 years,Male,839.7
Persons aged 15 years and over in Employment,2000Q4,25 - 74 years,Female,555.0
Persons aged 15 years and over in Employment,2001Q1,15 - 19 years,Both sexes,123.8
Persons aged 15 years and over in Employment,2001Q1,15 - 19 years,Male,74.3
Persons aged 15 years and over in Employment,2001Q1,15 - 19 years,Female,49.5
Persons aged 15 years and over in Employment,2001Q1,15 - 24 years,Both sexes,373.2
Persons aged 15 years and over in Employment,2001Q1,15 - 24 years,Male,207.3
Persons aged 15 years and over in Employment,2001Q1,15 - 24 years,Female,165.9
Persons aged 15 years and over in Employment,2001Q1,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2001Q1,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2001Q1,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2001Q1,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2001Q1,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2001Q1,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2001Q1,15 years and over,Both sexes,1780.4
Persons aged 15 years and over in Employment,2001Q1,15 years and over,Male,1053.9
Persons aged 15 years and over in Employment,2001Q1,15 years and over,Female,726.5
Persons aged 15 years and over in Employment,2001Q1,20 - 24 years,Both sexes,249.4
Persons aged 15 years and over in Employment,2001Q1,20 - 24 years,Male,133.0
Persons aged 15 years and over in Employment,2001Q1,20 - 24 years,Female,116.4
Persons aged 15 years and over in Employment,2001Q1,25 - 34 years,Both sexes,477.6
Persons aged 15 years and over in Employment,2001Q1,25 - 34 years,Male,264.3
Persons aged 15 years and over in Employment,2001Q1,25 - 34 years,Female,213.3
Persons aged 15 years and over in Employment,2001Q1,35 - 44 years,Both sexes,420.6
Persons aged 15 years and over in Employment,2001Q1,35 - 44 years,Male,248.2
Persons aged 15 years and over in Employment,2001Q1,35 - 44 years,Female,172.4
Persons aged 15 years and over in Employment,2001Q1,45 - 54 years,Both sexes,320.4
Persons aged 15 years and over in Employment,2001Q1,45 - 54 years,Male,200.6
Persons aged 15 years and over in Employment,2001Q1,45 - 54 years,Female,119.8
Persons aged 15 years and over in Employment,2001Q1,55 - 59 years,Both sexes,100.3
Persons aged 15 years and over in Employment,2001Q1,55 - 59 years,Male,67.6
Persons aged 15 years and over in Employment,2001Q1,55 - 59 years,Female,32.7
Persons aged 15 years and over in Employment,2001Q1,60 - 64 years,Both sexes,56.0
Persons aged 15 years and over in Employment,2001Q1,60 - 64 years,Male,40.6
Persons aged 15 years and over in Employment,2001Q1,60 - 64 years,Female,15.5
Persons aged 15 years and over in Employment,2001Q1,65 years and over,Both sexes,32.2
Persons aged 15 years and over in Employment,2001Q1,65 years and over,Male,25.3
Persons aged 15 years and over in Employment,2001Q1,65 years and over,Female,6.9
Persons aged 15 years and over in Employment,2001Q1,25 - 74 years,Both sexes,1402.2
Persons aged 15 years and over in Employment,2001Q1,25 - 74 years,Male,842.7
Persons aged 15 years and over in Employment,2001Q1,25 - 74 years,Female,559.5
Persons aged 15 years and over in Employment,2001Q2,15 - 19 years,Both sexes,127.8
Persons aged 15 years and over in Employment,2001Q2,15 - 19 years,Male,77.1
Persons aged 15 years and over in Employment,2001Q2,15 - 19 years,Female,50.6
Persons aged 15 years and over in Employment,2001Q2,15 - 24 years,Both sexes,379.9
Persons aged 15 years and over in Employment,2001Q2,15 - 24 years,Male,212.1
Persons aged 15 years and over in Employment,2001Q2,15 - 24 years,Female,167.8
Persons aged 15 years and over in Employment,2001Q2,15 - 64 years,Both sexes,
Persons aged 15 years and over in Employment,2001Q2,15 - 64 years,Male,
Persons aged 15 years and over in Employment,2001Q2,15 - 64 years,Female,
Persons aged 15 years and over in Employment,2001Q2,15 - 74 years,Both sexes,
Persons aged 15 years and over in Employment,2001Q2,15 - 74 years,Male,
Persons aged 15 years and over in Employment,2001Q2,15 - 74 years,Female,
Persons aged 15 years and over in Employment,2001Q2,15 years and over,Both sexes,1809.7
Persons aged 15 years and over in Employment,2001Q2,15 years and over,Male,1068.7
Persons aged 15 years and over in Employment,2001Q2,15 years and over,Female,741.0
Persons aged 15 years and over in Employment,2001Q2,20 - 24 years,Both sexes,252.2
Persons aged 15 years and over in Employment,2001Q2,20 - 24 years,Male,135.0
Persons aged 15 years and over in Employment,2001Q2,20 - 24 years,Female,117.2
Persons aged 15 years and over in Employment,2001Q2,25 - 34 years,Both sexes,484.2
Persons aged 15 years and over in Employment,2001Q2,25 - 34 years,Male,267.5
Persons aged 15 years and over in Employment,2001Q2,25 - 34 years,Female,216.7
Persons aged 15 years and over in Employment,2001Q2,35 - 44 years,Both sexes,426.7
Persons aged 15 years and over in Employment,2001Q2,35 - 44 years,Male,250.9
Persons aged 15 years and over in Employment,2001Q2,35 - 44 years,Female,175.8
Persons aged 15 years and over in Employment,2001Q2,45 - 54 years,Both sexes,326.9
Persons aged 15 years and over in Employment,2001Q2,45 - 54 years,Male,201.9
Persons aged 15 years and over in Employment,2001Q2,45 - 54 years,Female,125.0
Persons aged 15 years and over in Employment,2001Q2,55 - 59 years,Both sexes,102.5
Persons aged 15 years and over in Employment,2001Q2,55 - 59 years,Male,69.6
Persons aged 15 years and over in Employment,2001Q2,55 - 59 years,Female,32.9
Persons aged 15 years and over in Employment,2001Q2,60 - 64 years,Both sexes,56.3
Persons aged 15 years and over in Employment,2001Q2,60 - 64 years,Male,40.7
Persons aged 15 years and over in Employment,2001Q2,60 - 64 years,Female,15.6
Persons aged 15 years and over in Employment,2001Q2,65 years and over,Both sexes,33.2
Persons aged 15 years and over in Employment,2001Q2,65 years and over,Male,26.0
Persons aged 15 years and over in Employment,2001Q2,65 years and over,Female,7.2
Persons aged 15 years and over in Employment,2001Q2,25 - 74 years,Both sexes,1424.2
Persons aged 15 years and over in Employment,2001Q2,25 - 74 years,Male,852.4
Persons aged 15 years and over in Employment,2001Q2,25 - 74 years,Female,571.9
