Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Human health and social work activities (Q),4.8
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Other NACE activities (R to U),3.7
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Industry and Construction (B to F),5.5
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Services (G to U),16.9
Employees aged 15 years and over in Employment (ILO),2014Q3,Not stated,Not stated,3.3
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,All NACE economic sectors,1690.0
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,"Agriculture, forestry and fishing (A)",26.4
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Construction (F),63.0
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),256.5
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Transportation and storage (H),65.9
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Accommodation and food service activities (I),130.9
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Information and communication (J),89.1
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,"Professional, scientific and technical activities (M)",91.4
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Administrative and support service activities (N),71.2
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Public administration and defence; compulsory social security (O),86.4
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Education (P),144.0
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Human health and social work activities (Q),247.3
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Industry (B to E),234.9
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,"Financial, insurance and real estate activities (K, L)",97.1
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Other NACE activities (R to U),79.7
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Industry and Construction (B to F),297.9
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Services (G to U),1359.4
Employees aged 15 years and over in Employment (ILO),2014Q4,All employees,Not stated,6.3
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,All NACE economic sectors,1496.0
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,"Agriculture, forestry and fishing (A)",23.7
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Construction (F),51.9
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),224.6
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Transportation and storage (H),61.3
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Accommodation and food service activities (I),105.2
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Information and communication (J),82.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,"Professional, scientific and technical activities (M)",84.8
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Administrative and support service activities (N),62.9
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Public administration and defence; compulsory social security (O),83.0
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Education (P),124.8
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Human health and social work activities (Q),222.7
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Industry (B to E),214.6
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,"Financial, insurance and real estate activities (K, L)",91.3
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Other NACE activities (R to U),60.2
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Industry and Construction (B to F),266.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Services (G to U),1203.4
Employees aged 15 years and over in Employment (ILO),2014Q4,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,All NACE economic sectors,169.9
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Construction (F),8.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Transportation and storage (H),4.1
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Accommodation and food service activities (I),24.8
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Information and communication (J),5.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,"Professional, scientific and technical activities (M)",5.7
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Administrative and support service activities (N),6.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Public administration and defence; compulsory social security (O),2.7
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Education (P),17.8
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Human health and social work activities (Q),20.1
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Industry (B to E),18.6
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Other NACE activities (R to U),16.4
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Industry and Construction (B to F),27.1
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Services (G to U),139.6
Employees aged 15 years and over in Employment (ILO),2014Q4,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,All NACE economic sectors,24.1
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Construction (F),2.6
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Human health and social work activities (Q),4.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Other NACE activities (R to U),3.0
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Industry and Construction (B to F),4.2
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Services (G to U),16.5
Employees aged 15 years and over in Employment (ILO),2014Q4,Not stated,Not stated,3.1
Employees aged 15 years and over in Employment (ILO),2015Q1,All employees,All NACE economic sectors,1680.4
Employees aged 15 years and over in Employment (ILO),2015Q1,All employees,"Agriculture, forestry and fishing (A)",26.1
Employees aged 15 years and over in Employment (ILO),2015Q1,All employees,Construction (F),66.2
Employees aged 15 years and over in Employment (ILO),2015Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),249.5
