Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Midland,Person usually works at home,7.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Midland,Person sometimes works at home,2.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Midland,Person never works at home,90.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-West,Person usually works at home,8.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-West,Person sometimes works at home,3.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-West,Person never works at home,88.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-East,Person usually works at home,8.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-East,Person sometimes works at home,3.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-East,Person never works at home,87.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-West,Person usually works at home,8.8
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-West,Person sometimes works at home,4.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-West,Person never works at home,87.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,West,Person usually works at home,9.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,West,Person sometimes works at home,3.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,West,Person never works at home,87.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Ireland,Person usually works at home,6.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Ireland,Person sometimes works at home,4.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Ireland,Person never works at home,88.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Ireland,Not stated,0.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q3,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Border,Person usually works at home,7.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Border,Person sometimes works at home,2.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Border,Person never works at home,89.9
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Dublin,Person usually works at home,3.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Dublin,Person sometimes works at home,6.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Dublin,Person never works at home,90.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-East,Person usually works at home,7.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-East,Person sometimes works at home,6.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-East,Person never works at home,86.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Midland,Person usually works at home,8.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Midland,Person sometimes works at home,2.3
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Midland,Person never works at home,89.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-West,Person usually works at home,7.4
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-West,Person sometimes works at home,3.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-West,Person never works at home,88.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-East,Person usually works at home,9.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-East,Person sometimes works at home,3.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-East,Person never works at home,87.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-West,Person usually works at home,8.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-West,Person sometimes works at home,4.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-West,Person never works at home,87.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,West,Person usually works at home,8.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,West,Person sometimes works at home,3.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,West,Person never works at home,88.1
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Ireland,Person usually works at home,6.7
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Ireland,Person sometimes works at home,4.5
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Ireland,Person never works at home,88.6
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Ireland,Not stated,0.2
Proportion of total persons aged 15 years and over in employment (ILO),2006Q4,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Border,Person usually works at home,8.0
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Border,Person sometimes works at home,3.1
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Border,Person never works at home,88.7
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2007Q1,Dublin,Person usually works at home,3.6
