Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Other NACE activities (R to U),47.5
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Industry and Construction (B to F),41.0
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Services (G to U),412.4
Persons aged 15 years and over in Employment (ILO),2014Q3,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,All NACE economic sectors,2025.0
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,"Agriculture, forestry and fishing (A)",104.7
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Construction (F),100.4
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),292.8
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Transportation and storage (H),86.6
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Accommodation and food service activities (I),146.9
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Information and communication (J),101.1
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,"Professional, scientific and technical activities (M)",130.1
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Administrative and support service activities (N),80.8
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Public administration and defence; compulsory social security (O),87.5
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Education (P),150.9
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Human health and social work activities (Q),265.1
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Industry (B to E),257.2
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,"Financial, insurance and real estate activities (K, L)",106.6
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Other NACE activities (R to U),107.4
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Industry and Construction (B to F),357.6
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Services (G to U),1555.8
Persons aged 15 years and over in Employment (ILO),2014Q4,All employment status,Not stated,7.0
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,All NACE economic sectors,1558.4
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,"Agriculture, forestry and fishing (A)",88.0
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Construction (F),84.1
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),190.9
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Transportation and storage (H),72.5
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Accommodation and food service activities (I),85.1
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Information and communication (J),92.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,"Professional, scientific and technical activities (M)",113.9
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Administrative and support service activities (N),56.2
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Public administration and defence; compulsory social security (O),77.4
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Education (P),117.4
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Human health and social work activities (Q),181.1
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Industry (B to E),235.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,"Financial, insurance and real estate activities (K, L)",94.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Other NACE activities (R to U),63.0
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Industry and Construction (B to F),319.7
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Services (G to U),1144.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Full-time,Not stated,6.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,All NACE economic sectors,466.7
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,"Agriculture, forestry and fishing (A)",16.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Construction (F),16.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),101.9
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Transportation and storage (H),14.1
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Accommodation and food service activities (I),61.9
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Information and communication (J),8.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,"Professional, scientific and technical activities (M)",16.2
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Administrative and support service activities (N),24.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Public administration and defence; compulsory social security (O),10.1
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Education (P),33.4
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Human health and social work activities (Q),84.0
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Industry (B to E),21.6
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,"Financial, insurance and real estate activities (K, L)",12.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Other NACE activities (R to U),44.3
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Industry and Construction (B to F),37.9
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Services (G to U),411.5
Persons aged 15 years and over in Employment (ILO),2014Q4,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,All NACE economic sectors,2012.4
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,"Agriculture, forestry and fishing (A)",106.9
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Construction (F),105.2
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),286.1
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Transportation and storage (H),87.3
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Accommodation and food service activities (I),141.2
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Information and communication (J),100.1
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,"Professional, scientific and technical activities (M)",120.7
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Administrative and support service activities (N),75.5
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Public administration and defence; compulsory social security (O),90.7
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Education (P),151.2
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Human health and social work activities (Q),263.7
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Industry (B to E),259.3
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,"Financial, insurance and real estate activities (K, L)",106.2
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Other NACE activities (R to U),111.9
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Industry and Construction (B to F),364.5
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Services (G to U),1534.6
Persons aged 15 years and over in Employment (ILO),2015Q1,All employment status,Not stated,6.3
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,All NACE economic sectors,1554.6
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,"Agriculture, forestry and fishing (A)",91.1
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Construction (F),88.7
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),187.2
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Transportation and storage (H),73.8
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Accommodation and food service activities (I),80.2
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Information and communication (J),92.5
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,"Professional, scientific and technical activities (M)",104.4
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Administrative and support service activities (N),53.5
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Public administration and defence; compulsory social security (O),80.7
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Education (P),118.3
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Human health and social work activities (Q),180.3
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Industry (B to E),236.3
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,"Financial, insurance and real estate activities (K, L)",94.2
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Other NACE activities (R to U),67.7
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Industry and Construction (B to F),325.0
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Services (G to U),1132.7
Persons aged 15 years and over in Employment (ILO),2015Q1,Full-time,Not stated,5.7
Persons aged 15 years and over in Employment (ILO),2015Q1,Part-time,All NACE economic sectors,457.8
Persons aged 15 years and over in Employment (ILO),2015Q1,Part-time,"Agriculture, forestry and fishing (A)",15.8
Persons aged 15 years and over in Employment (ILO),2015Q1,Part-time,Construction (F),16.5
Persons aged 15 years and over in Employment (ILO),2015Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),98.9
Persons aged 15 years and over in Employment (ILO),2015Q1,Part-time,Transportation and storage (H),13.5
